 15-19, 20-24, 25-29, 30-34, 35-39, 40-44, 45-49, 50-54, 55-59, 60-64, 65-69, 70-74, 75-79, 80-84
374513,374480,447433,454932,433532,382251,363641,345481,361959,350734,300579,232777,142379,86453
2008,2003,1998,1993,1988,1983,1978,1973,1968,1963,1958,1953,1948,1943
