city,state_name,population
Peoria,Arizona,194338
Cedar Rapids,Iowa,192755
Vancouver,Washington,192696
Glendale,California,192270
Gastonia,North Carolina,189767
Spring Hill,Florida,188743
Murfreesboro,Tennessee,187601
Tempe,Arizona,186419
Paradise,Nevada,186178
Newport News,Virginia,184774
Erie,Pennsylvania,184332
Fort Lauderdale,Florida,183032
Gainesville,Georgia,182116
Aurora,Illinois,179867
Mauldin,South Carolina,179196
Ontario,California,178347
Elk Grove,California,177221
Panama City,Florida,177125
Cary,North Carolina,176686
Hemet,California,176009
Danbury,Connecticut,175074
Rancho Cucamonga,California,174693
Salinas,California,172995
Oceanside,California,172542
Vallejo,California,171414
High Point,North Carolina,171342
Garden Grove,California,170603
Pembroke Pines,Florida,170557
Lancaster,California,170013
Marysville,Washington,168664
Fredericksburg,Virginia,166746
Visalia,California,166273
Tuscaloosa,Alabama,166253
Palmdale,California,165487
Santa Cruz,California,165263
Medford,Oregon,164628
Norwich,Connecticut,163299
Merced,California,163257
Manchester,New Hampshire,162716
Odessa,Texas,162648
Muskegon,Michigan,162458
Leesburg,Florida,161515
Lafayette,Indiana,160373
Hayward,California,159201
Corona,California,158839
Paterson,New Jersey,157660
Alexandria,Virginia,156788
Macon,Georgia,156543
Lakewood,Colorado,156309
Springfield,Illinois,156240
Kansas City,Kansas,154776
Burlington,North Carolina,154504
Warner Robins,Georgia,154327
Sunnyvale,California,153455
Hollywood,Florida,152935
Roseville,California,152438
New Bedford,Massachusetts,152104
South Lyon,Michigan,151231
Bellevue,Washington,151199
Fairfield,California,150794
Binghamton,New York,150564
Topeka,Kansas,150343
Escondido,California,149913
Joliet,Illinois,149785
Surprise,Arizona,149519
Naperville,Illinois,149424
Pasadena,Texas,149345
Mesquite,Texas,148848
Champaign,Illinois,148477
Pomona,California,148391
Houma,Louisiana,147841
Athens,Georgia,147368
St. George,Utah,147347
Beaumont,Texas,146554
Elkhart,Indiana,146511
Lake Charles,Louisiana,145110
Santa Maria,California,144857
Yuma,Arizona,144509
Olathe,Kansas,143720
Midland,Texas,143714
Greeley,Colorado,143554
Torrance,California,143499
Thornton,Colorado,142878
Las Cruces,New Mexico,142432
Columbia,Missouri,141811
Fullerton,California,141278
Grand Junction,Colorado,141008
Metairie,Louisiana,138995
Orange,California,138723
Warren,Michigan,138128
West Valley City,Utah,137955
Hampton,Virginia,137334
Pasadena,California,136462
Miramar,Florida,135986
Elizabeth,New Jersey,135887
Stamford,Connecticut,135806
Racine,Wisconsin,135512
Kent,Washington,135015
Yakima,Washington,134003
Coral Springs,Florida,133962
Sterling Heights,Michigan,133473
Billings,Montana,133173
Bloomington,Illinois,133107
Charleston,West Virginia,133045
Carrollton,Texas,132741
Tyler,Texas,131037
Iowa City,Iowa,129897
Johnson City,Tennessee,129818
Santa Clara,California,129239
Bellingham,Washington,128737
Norman,Oklahoma,128714
Coeur d'Alene,Idaho,128680
Fort Smith,Arkansas,128384
Lewisville,Texas,128313
Dover,Delaware,128045
Yuba City,California,127854
Lehigh Acres,Florida,127391
Abilene,Texas,127130
Simi Valley,California,126503
Pearland,Texas,125983
Kenosha,Wisconsin,125807
Meridian,Idaho,124865
Round Rock,Texas,124288
Waldorf,Maryland,124186
Temple,Texas,123932
Lynchburg,Virginia,123662
Rochester,Minnesota,123252
Logan,Utah,122915
Arvada,Colorado,122835
Clovis,California,122719
Independence,Missouri,121944
Redding,California,120849
Greenville,North Carolina,120595
Duluth,Minnesota,120443
Berkeley,California,120223
Boulder,Colorado,120121
Pueblo,Colorado,120020
West Palm Beach,Florida,119508
Burlington,Vermont,118409
Seaside,California,118398
Richardson,Texas,118269
Cambridge,Massachusetts,117794
Monroe,Louisiana,117507
North Charleston,South Carolina,117460
Saginaw,Michigan,117412
Clearwater,Florida,117075
The Woodlands,Texas,116916
Brandon,Florida,116365
St. Cloud,Minnesota,116347
West Jordan,Utah,116277
Broken Arrow,Oklahoma,115919
Harlingen,Texas,115767
Kailua,Hawaii,115634
Westminster,Colorado,115546
Gilroy,California,115448
Richmond,California,115396
Mandeville,Louisiana,115292
Utica,New York,114961
League City,Texas,114885
Port Arthur,Texas,114860
Lowell,Massachusetts,114799
East Los Angeles,California,114617
Carlsbad,California,114500
Elgin,Illinois,114106
Waterloo,Iowa,113832
Leominster,Massachusetts,113462
Bend,Oregon,113454
Sioux City,Iowa,112823
Gresham,Oregon,112818
Longview,Texas,112687
Pompano Beach,Florida,112212
Downey,California,111793
Murrieta,California,111621
Idaho Falls,Idaho,111295
Miami Gardens,Florida,111264
Everett,Washington,111083
Holland,Michigan,110905
Costa Mesa,California,110538
Temecula,California,110404
Jacksonville,North Carolina,109958
San Buenaventura,California,109900
Sugar Land,Texas,109735
Chico,California,109411
South Fulton,Georgia,109157
Sparks,Nevada,109106
Eau Claire,Wisconsin,108477
Auburn,Alabama,108327
Dearborn,Michigan,107846
Riverview,Florida,107776
Allen,Texas,107684
West Covina,California,107436
Centennial,Colorado,107386
Bloomington,Indiana,107262
Sandy Springs,Georgia,107198
El Monte,California,107066
Hillsboro,Oregon,107050
Menifee,California,107020
Rio Rancho,New Mexico,106533
Davie,Florida,106412
Jurupa Valley,California,106244
Columbia,Maryland,105871
Inglewood,California,105575
Spokane Valley,Washington,105460
Renton,Washington,105279
San Tan Valley,Arizona,105231
Burbank,California,105165
Brockton,Massachusetts,105080
El Cajon,California,104909
Rialto,California,103866
San Mateo,California,103555
Goodyear,Arizona,102891
Charlottesville,Virginia,102802
Lafayette,Colorado,102615
Lee's Summit,Missouri,102583
Edinburg,Texas,102561
Daly City,California,102560
Wichita Falls,Texas,102558
Bowling Green,Kentucky,102247
Longmont,Colorado,102183
Vacaville,California,102085
Highlands Ranch,Colorado,101437
Quincy,Massachusetts,101361
Fishers,Indiana,100918
Lynn,Massachusetts,100905
Norwalk,California,100713
Carmel,Indiana,100501
Hesperia,California,100141
St. Augustine,Florida,99936
Buckeye,Arizona,99844
San Angelo,Texas,99507
Federal Way,Washington,99232
Bismarck,North Dakota,99060
Boca Raton,Florida,98833
New Braunfels,Texas,98700
Vista,California,98646
Beaverton,Oregon,97502
Portsmouth,Virginia,97299
Orem,Utah,97048
Conroe,Texas,96976
Suffolk,Virginia,96638
Sunrise,Florida,96633
Lawrence,Kansas,96380
Arden-Arcade,California,96319
Prescott Valley,Arizona,96190
Middletown,Ohio,95894
Edmond,Oklahoma,95618
Tracy,California,95358
Manteca,California,95347
Kingsport,Tennessee,95059
Portsmouth,New Hampshire,94815
Sandy,Utah,94723
Palm Coast,Florida,94362
Slidell,Louisiana,94220
San Marcos,California,94078
Livonia,Michigan,94058
Santa Fe,New Mexico,94032
Plantation,Florida,94002
Atascocita,Texas,93926
Fall River,Massachusetts,93764
Compton,California,93525
Carson,California,93523
La Crosse,Wisconsin,93163
Missoula,Montana,92942
O'Fallon,Missouri,92697
Mount Pleasant,South Carolina,92662
Roswell,Georgia,92577
Hoover,Alabama,92401
Florence,South Carolina,92315
Williamsburg,Virginia,91935
South Gate,California,91836
Chino,California,91775
Fort Myers,Florida,91730
Kirkland,Washington,91614
Santa Monica,California,91535
Vineland,New Jersey,91393
Norwalk,Connecticut,91375
Alafaya,Florida,90874
Lawton,Oklahoma,90662
Avondale,Arizona,90644
Germantown,Maryland,90521
Rapid City,South Dakota,90421
Westminster,California,90147
Clifton,New Jersey,89247
Waukegan,Illinois,88919
Bloomington,Minnesota,88838
San Leandro,California,88531
