city,state_name,population
Salem,Massachusetts,44241
Concord,New Hampshire,44219
Wilkes-Barre,Pennsylvania,44217
North Fort Myers,Florida,44189
El Centro,California,44186
Freeport,New York,44102
Saratoga Springs,Utah,44070
Oakland Park,Florida,44015
Columbia,Tennessee,43971
Greenacres,Florida,43871
Hicksville,New York,43868
Lompoc,California,43819
Lombard,Illinois,43722
Spanish Fork,Utah,43632
Linden,New Jersey,43614
Waxahachie,Texas,43591
Pittsfield,Massachusetts,43559
Channelview,Texas,43536
Ormond Beach,Florida,43514
Newnan,Georgia,43510
Woodbridge,Virginia,43443
Holly Springs,North Carolina,43429
Danville,California,43426
Burke,Virginia,43336
Huber Heights,Ohio,43266
West Babylon,New York,43239
Delaware,Ohio,43168
Schertz,Texas,43128
North Miami Beach,Florida,43104
Woonsocket,Rhode Island,43074
Hollister,California,43003
Campbell,California,42848
Buffalo Grove,Illinois,42824
Edmonds,Washington,42783
Catonsville,Maryland,42717
Manassas,Virginia,42674
Vineyard,California,42645
Puyallup,Washington,42642
San Bruno,California,42612
Coachella,California,42594
Jefferson City,Missouri,42565
French Valley,California,42550
Midland,Michigan,42461
Beverly,Massachusetts,42408
Mableton,Georgia,42403
Danville,Virginia,42239
Moline,Illinois,42235
Bullhead City,Arizona,42193
Peachtree Corners,Georgia,42184
Linton Hall,Virginia,42077
Coppell,Texas,42029
Annandale,Virginia,41982
Lebanon,Tennessee,41951
Altadena,California,41921
Land O' Lakes,Florida,41845
Grove City,Ohio,41831
Belleville,Illinois,41722
Post Falls,Idaho,41716
Marion,Iowa,41690
Fitchburg,Massachusetts,41633
Brookfield,Wisconsin,41592
Coram,New York,41527
Princeton,Florida,41476
Weslaco,Texas,41437
Shelton,Connecticut,41402
Marlborough,Massachusetts,41398
Milton,Georgia,41305
Rancho Palos Verdes,California,41259
Hallandale Beach,Florida,41224
Woburn,Massachusetts,41205
Brighton,Colorado,41196
Indian Trail,North Carolina,41146
Reynoldsburg,Ohio,41032
Romeoville,Illinois,40996
Maplewood,Minnesota,40981
Lynnwood,Washington,40953
Lancaster,Ohio,40902
Covington,Kentucky,40902
Mount Juliet,Tennessee,40828
Friendswood,Texas,40827
Germantown,Tennessee,40812
Lancaster,Texas,40753
Annapolis,Maryland,40744
Meadow Woods,Florida,40741
Westfield,Massachusetts,40673
Essex,Maryland,40670
Cedar Falls,Iowa,40662
Kearny,New Jersey,40570
Bartlett,Illinois,40531
Woodlawn,Maryland,40476
DeKalb,Illinois,40464
Pine Bluff,Arkansas,40436
Crystal Lake,Illinois,40436
New Berlin,Wisconsin,40384
Lake Oswego,Oregon,40367
Findlay,Ohio,40280
Valley Stream,New York,40278
The Acreage,Florida,40188
Cottage Grove,Minnesota,40124
Cape Girardeau,Missouri,40047
Plant City,Florida,40009
Culver City,California,39993
Oviedo,Florida,39990
Hurst,Texas,39912
Hobbs,New Mexico,39887
Duncanville,Texas,39879
Waipahu,Hawaii,39871
Hutchinson,Kansas,39837
DeLand,Florida,39832
Fort Lee,New Jersey,39818
Apache Junction,Arizona,39746
Rexburg,Idaho,39589
Lincoln Park,Michigan,39511
Lake Stevens,Washington,39500
Severna Park,Maryland,39499
Issaquah,Washington,39472
Rosenberg,Texas,39467
Chelsea,Massachusetts,39460
Lakewood Ranch,Florida,39434
Carol Stream,Illinois,39427
Aventura,Florida,39372
West Fargo,North Dakota,39325
Bettendorf,Iowa,39297
Park Ridge,Illinois,39241
Greer,South Carolina,39191
Quincy,Illinois,39188
Grants Pass,Oregon,39183
Parkland,Washington,39174
Royal Palm Beach,Florida,39089
Warren,Ohio,39057
Streamwood,Illinois,39055
Roy,Utah,39021
Keizer,Oregon,39013
Owasso,Oklahoma,39013
Navarre,Florida,38988
Peachtree City,Georgia,38977
Menomonee Falls,Wisconsin,38963
La Vergne,Tennessee,38944
Prattville,Alabama,38850
Valrico,Florida,38820
San Gabriel,California,38764
Clinton,Maryland,38756
Vestavia Hills,Alabama,38704
Bell Gardens,California,38661
Security-Widefield,Colorado,38659
Stanton,California,38639
Westerville,Ohio,38543
Wheeling,Illinois,38495
Atlantic City,New Jersey,38486
Phenix City,Alabama,38477
Calexico,California,38476
Winter Springs,Florida,38448
Urbana,Illinois,38447
Mechanicsville,Virginia,38437
La Quinta,California,38299
East Point,Georgia,38233
Georgetown,Kentucky,38206
Clovis,New Mexico,38153
Riviera Beach,Florida,38032
Hot Springs,Arkansas,38023
Sun City,Arizona,38018
Adelanto,California,38010
Northglenn,Colorado,37953
Portage,Indiana,37951
Holyoke,Massachusetts,37949
Lewiston,Maine,37886
Tupelo,Mississippi,37825
Montclair,California,37809
Hilton Head Island,South Carolina,37805
Winchester,Nevada,37774
Rome,Georgia,37754
Central Islip,New York,37751
Fuquay-Varina,North Carolina,37749
Evans,Georgia,37718
New Albany,Indiana,37589
Bartlesville,Oklahoma,37559
Monrovia,California,37553
Pleasant Grove,Utah,37544
Carpentersville,Illinois,37544
Pacifica,California,37527
South Miami Heights,Florida,37525
Oregon City,Oregon,37482
La Puente,California,37404
Greenfield,Wisconsin,37361
Foothill Farms,California,37332
Mission Bend,Texas,37280
Tooele,Utah,37265
Estero,Florida,37258
Midlothian,Texas,37256
Cedar City,Utah,37202
Leavenworth,Kansas,37176
Copperas Cove,Texas,37149
Kearns,Utah,37058
Tucker,Georgia,37022
Wildomar,California,36953
Martinez,California,36926
Hanover Park,Illinois,36850
Muskogee,Oklahoma,36819
Oakton,Virginia,36776
Rock Island,Illinois,36758
Richfield,Minnesota,36725
La Presa,California,36669
South Valley,New Mexico,36605
Kiryas Joel,New York,36572
Hilliard,Ohio,36560
Beloit,Wisconsin,36554
Claremont,California,36553
Oak Creek,Wisconsin,36473
Sun Prairie,Wisconsin,36455
Elmont,New York,36436
Commack,New York,36353
Merrillville,Indiana,36343
Upper Arlington,Ohio,36319
Woodstock,Georgia,36297
Douglasville,Georgia,36284
Farmers Branch,Texas,36254
Socorro,Texas,36237
La Porte,Texas,36077
Dunedin,Florida,36060
North Ridgeville,Ohio,36043
Olney,Maryland,36000
San Luis,Arizona,35998
Richmond West,Florida,35988
Randallstown,Maryland,35975
Moorpark,California,35957
Benton,Arkansas,35954
Kaneohe,Hawaii,35945
Lauderdale Lakes,Florida,35924
Windsor,Colorado,35918
Roseville,Minnesota,35905
El Mirage,Arizona,35823
East Meadow,New York,35806
Parkland,Florida,35799
Plainfield,Indiana,35783
Norristown,Pennsylvania,35782
Inver Grove Heights,Minnesota,35772
Marion,Ohio,35771
Franklin,Wisconsin,35751
Temple City,California,35749
Midvale,Utah,35736
Salisbury,North Carolina,35730
Egypt Lake-Leto,Florida,35709
San Juan,Texas,35674
Carrollwood,Florida,35645
Owings Mills,Maryland,35626
Fruit Cove,Florida,35609
Monroe,North Carolina,35596
Richmond,Indiana,35551
Cookeville,Tennessee,35544
Richmond,Kentucky,35498
Kendall West,Florida,35492
Torrington,Connecticut,35481
Stockbridge,Georgia,35475
Springville,Utah,35474
Fair Oaks,Virginia,35472
Addison,Illinois,35470
Oswego,Illinois,35463
Gahanna,Ohio,35438
American Fork,Utah,35312
Brunswick,Ohio,35284
Hinesville,Georgia,35282
Watertown Town,Massachusetts,35270
Calumet City,Illinois,35253
Orangevale,California,35219
Wildwood,Missouri,35168
Oakville,Missouri,35166
Chillum,Maryland,35163
Redmond,Oregon,35161
Fair Lawn,New Jersey,35153
Mason,Ohio,35148
West Hollywood,California,35090
Graham,Washington,35090
Golden Glades,Florida,35042
Sahuarita,Arizona,35012
Prairieville,Louisiana,35010
San Juan Capistrano,California,34998
Pueblo West,Colorado,34992
Timberwood Park,Texas,34980
Oildale,California,34971
Butte,Montana,34929
University Place,Washington,34850
Long Beach,New York,34741
Merritt Island,Florida,34718
University City,Missouri,34655
Northbrook,Illinois,34642
Del Rio,Texas,34638
Canton,Georgia,34587
Manhattan Beach,California,34584
Prosper,Texas,34567
Manitowoc,Wisconsin,34553
Fairborn,Ohio,34506
McMinnville,Oregon,34493
Lewiston,Idaho,34471
Meridian,Mississippi,34466
College Park,Maryland,34397
Valparaiso,Indiana,34377
Goshen,Indiana,34374
Pleasant Hill,California,34335
Spanaway,Washington,34322
Stow,Ohio,34317
Westmont,California,34291
Pikesville,Maryland,34253
South Riding,Virginia,34200
Cooper City,Florida,34166
Montgomery Village,Maryland,34161
Dakota Ridge,Colorado,34159
Lufkin,Texas,34158
New City,New York,34133
San Dimas,California,34099
Crown Point,Indiana,34042
Westlake,Ohio,34036
Kearney,Nebraska,34024
Syracuse,Utah,34009
Eastpointe,Michigan,34003
Weatherford,Texas,33924
Woodridge,Illinois,33889
Kingman,Arizona,33850
Leawood,Kansas,33844
Cibolo,Texas,33829
Deer Park,Texas,33823
Englewood,Colorado,33774
Walla Walla,Washington,33766
Statesboro,Georgia,33705
Uniondale,New York,33637
Alabaster,Alabama,33633
Kennesaw,Georgia,33627
Gadsden,Alabama,33617
Baldwin,New York,33595
Harker Heights,Texas,33595
Goldsboro,North Carolina,33448
Ken Caryl,Colorado,33407
Petersburg,Virginia,33365
Huntington Station,New York,33283
Gillette,Wyoming,33278
Chester,Pennsylvania,33209
West Little River,Florida,33147
Helena,Montana,33126
Bethel Park,Pennsylvania,33070
Martinez,Georgia,33019
East Lake,Florida,33019
Spring Valley,New York,32995
Cottonwood Heights,Utah,32984
Cleburne,Texas,32966
Foster City,California,32964
Canyon Lake,Texas,32924
Sherwood,Arkansas,32915
Clearfield,Utah,32895
Dana Point,California,32883
Rochester,New Hampshire,32866
Glendale Heights,Illinois,32864
Kaysville,Utah,32861
Bell,California,32830
Andover,Minnesota,32825
Brooklyn Center,Minnesota,32811
Desert Hot Springs,California,32786
Menlo Park,California,32775
Los Gatos,California,32773
St. Charles,Illinois,32733
Pasadena,Maryland,32717
Savage,Minnesota,32706
Lathrop,California,32696
Goleta,California,32693
Des Moines,Washington,32545
Garner,North Carolina,32543
Garfield,New Jersey,32502
Fallbrook,California,32467
Florence,Kentucky,32334
Aiken,South Carolina,32334
Buenaventura Lakes,Florida,32310
Spring Valley,California,32215
Maryville,Tennessee,32196
Hutto,Texas,32188
Long Branch,New Jersey,32184
Massillon,Ohio,32177
Wheat Ridge,Colorado,32158
O'Fallon,Illinois,32139
Elk Grove Village,Illinois,32132
Nacogdoches,Texas,32104
Oak Ridge,Tennessee,32088
North Olmsted,Ohio,32031
Fair Oaks,California,32030
Atwater,California,32013
Cornelius,North Carolina,32009
West Odessa,Texas,31985
Juneau,Alaska,31969
Duluth,Georgia,31958
Beverly Hills,California,31955
Opelika,Alabama,31944
Milford Mill,Maryland,31939
Pullman,Washington,31939
Erie,Colorado,31927
Oceanside,New York,31907
Marrero,Louisiana,31866
Laramie,Wyoming,31848
Carlsbad,New Mexico,31813
Pekin,Illinois,31812
Sun City Center,Florida,31801
Rome,New York,31795
Ithaca,New York,31792
Seguin,Texas,31789
San Pablo,California,31771
Dania Beach,Florida,31739
Lake Magdalene,Florida,31733
West Bend,Wisconsin,31722
Bethany,Oregon,31700
Bangor,Maine,31663
Naugatuck,Connecticut,31634
Mundelein,Illinois,31632
Nicholasville,Kentucky,31625
Middle River,Maryland,31616
Bel Air North,Maryland,31599
Fitchburg,Wisconsin,31566
New Bern,North Carolina,31563
Lakeside,Florida,31548
Shawnee,Oklahoma,31511
Centereach,New York,31501
Eagle,Idaho,31490
LaGrange,Georgia,31479
Zionsville,Indiana,31442
Bluffton,South Carolina,31323
Orcutt,California,31284
Bay Shore,New York,31275
Sterling,Virginia,31251
Holladay,Utah,31236
New Smyrna Beach,Florida,31212
Santa Paula,California,31202
Port Chester,New York,31162
Haines City,Florida,31156
SeaTac,Washington,31143
Lawndale,California,31113
Alamogordo,New Mexico,31063
Southlake,Texas,31044
North Royalton,Ohio,31013
Hopkinsville,Kentucky,31011
Northport,Alabama,30991
Bella Vista,Arkansas,30935
Laguna Hills,California,30921
Springfield,Virginia,30894
Ballwin,Missouri,30835
Sanford,North Carolina,30833
La Verne,California,30804
North Chicago,Illinois,30772
Westfield,New Jersey,30760
Oakleaf Plantation,Florida,30737
Los Altos,California,30736
Miami Lakes,Florida,30731
Washington,Utah,30686
Banning,California,30680
West Falls Church,Virginia,30660
Lawrenceville,Georgia,30626
Eldersburg,Maryland,30626
Franklin Square,New York,30559
Burlingame,California,30526
Gurnee,Illinois,30486
Morrisville,North Carolina,30471
Ferry Pass,Florida,30467
Princeton,New Jersey,30451
Liberty,Missouri,30446
Redan,Georgia,30426
Parkville,Maryland,30423
Chamblee,Georgia,30369
North Tonawanda,New York,30338
Saratoga,California,30335
Brownsburg,Indiana,30310
Newark,Delaware,30309
Granger,Indiana,30279
Niles,Illinois,30262
Highland Park,Illinois,30229
Middletown,New York,30227
Austintown,Ohio,30215
Summerlin South,Nevada,30075
Ruskin,Florida,30074
McDonough,Georgia,30056
Bowling Green,Ohio,30051
Drexel Hill,Pennsylvania,30015
Matthews,North Carolina,29959
Fridley,Minnesota,29944
Paragould,Arkansas,29940
Greenville,Texas,29936
Winter Park,Florida,29929
Algonquin,Illinois,29904
Hazleton,Pennsylvania,29886
Crofton,Maryland,29878
Gloucester,Massachusetts,29862
San Carlos,California,29797
Monterey,California,29772
Rahway,New Jersey,29748
Atascadero,California,29735
Orchards,Washington,29716
Galesburg,Illinois,29653
Hobart,Indiana,29646
Schererville,Indiana,29627
Central,Louisiana,29603
Laurel,Maryland,29594
Raytown,Missouri,29593
Anderson,South Carolina,29563
Southgate,Michigan,29551
Burton,Michigan,29529
Melrose,Massachusetts,29488
Magna,Utah,29488
Casselberry,Florida,29473
San Lorenzo,California,29453
Eastern Goleta Valley,California,29411
Bixby,Oklahoma,29402
Oak Park,Michigan,29370
Garfield Heights,Ohio,29369
Vero Beach South,Florida,29365
Fleming Island,Florida,29351
Texarkana,Arkansas,29343
Englewood,New Jersey,29342
Fountain,Colorado,29327
Kirkwood,Missouri,29302
Jacksonville,Arkansas,29285
Harrison,New York,29279
Clarksburg,Maryland,29246
Suisun City,California,29205
Statesville,North Carolina,29161
East Palo Alto,California,29143
Mehlville,Missouri,29089
Easton,Pennsylvania,29079
Sachse,Texas,29075
East Lake-Orient Park,Florida,29064
Russellville,Arkansas,29057
Independence,Kentucky,29024
Shaker Heights,Ohio,29004
Enterprise,Alabama,28990
Jeffersontown,Kentucky,28988
Perry Hall,Maryland,28908
Lake in the Hills,Illinois,28853
Greenville,Mississippi,28833
Burbank,Illinois,28822
Golden Gate,Florida,28767
Converse,Texas,28764
Twentynine Palms,California,28738
Daphne,Alabama,28673
Danville,Illinois,28663
Northampton,Massachusetts,28640
Carney,Maryland,28624
East Niles,California,28586
Temescal Valley,California,28560
Forest Hills,Michigan,28494
Laplace,Louisiana,28480
Frankfort,Kentucky,28452
Lansing,Illinois,28415
Madison Heights,Michigan,28411
Jamestown,New York,28401
Monroeville,Pennsylvania,28383
Apollo Beach,Florida,28347
Aberdeen,South Dakota,28297
Fort Mill,South Carolina,28281
Rockledge,Florida,28279
Glen Ellyn,Illinois,28270
Bergenfield,New Jersey,28269
Fortuna Foothills,Arizona,28227
Forney,Texas,28222
Eagle Pass,Texas,28186
Short Pump,Virginia,28177
Citrus Park,Florida,28163
Chaska,Minnesota,28146
Ridgecrest,California,28138
Allen Park,Michigan,28128
Maple Valley,Washington,28121
Oakdale,Minnesota,28109
Glen Cove,New York,28101
Ramsey,Minnesota,28070
Crestview,Florida,28046
Clayton,North Carolina,28043
Tysons,Virginia,28022
Henderson,Kentucky,27994
Maryland Heights,Missouri,27981
Williston,North Dakota,27964
New Iberia,Louisiana,27926
Lake Jackson,Texas,27902
Huntley,Illinois,27859
Walnut,California,27857
Prior Lake,Minnesota,27832
Hamtramck,Michigan,27830
Shirley,New York,27807
Monsey,New York,27787
Garden City,Kansas,27781
Madison,Mississippi,27775
McHenry,Illinois,27774
Reisterstown,Maryland,27764
South Laurel,Maryland,27736
Tualatin,Oregon,27710
Alvin,Texas,27700
Homewood,Alabama,27697
Mount Pleasant,Wisconsin,27694
Dodge City,Kansas,27652
West Melbourne,Florida,27643
Drexel Heights,Arizona,27636
Williamsport,Pennsylvania,27629
Lochearn,Maryland,27591
Silver Springs Shores,Florida,27556
Ilchester,Maryland,27552
Wilmette,Illinois,27550
Belmont,California,27505
Mililani Town,Hawaii,27495
Marshalltown,Iowa,27491
Lemon Grove,California,27489
Athens,Alabama,27474
Pearl,Mississippi,27458
New Lenox,Illinois,27456
Kernersville,North Carolina,27439
Millville,New Jersey,27432
Clinton,Mississippi,27418
Neenah,Wisconsin,27409
Marion,Indiana,27384
Green,Ohio,27381
Asheboro,North Carolina,27353
Deer Park,New York,27334
Fremont,Nebraska,27321
Union City,Georgia,27300
Thomasville,North Carolina,27261
Pooler,Georgia,27235
Wright,Florida,27233
New London,Connecticut,27199
Kent,Ohio,27190
Balch Springs,Texas,27181
Celina,Texas,27141
Mason City,Iowa,27135
Lindenhurst,New York,27106
Gladstone,Missouri,27069
Kahului,Hawaii,27068
West Linn,Oregon,27065
Carrollton,Georgia,27058
Lemoore,California,27023
Wooster,Ohio,27012
Sun City West,Arizona,27003
Fulshear,Texas,26986
Waukee,Iowa,26974
Mint Hill,North Carolina,26954
Chicago Heights,Illinois,26938
Brawley,California,26934
Temple Terrace,Florida,26922
Leisure City,Florida,26917
Garden City,Michigan,26910
Paducah,Kentucky,26894
Oak Forest,Illinois,26888
Plum,Pennsylvania,26873
Palm Springs,Florida,26871
Benicia,California,26861
Woodburn,Oregon,26845
Kalispell,Montana,26830
South Portland,Maine,26780
Camas,Washington,26779
Vernon Hills,Illinois,26772
Ewa Gentry,Hawaii,26738
Cabot,Arkansas,26733
Lutz,Florida,26731
Batavia,Illinois,26730
Shoreview,Minnesota,26724
Keystone,Florida,26723
Palm River-Clair Mel,Florida,26719
Troy,Ohio,26716
Wheeling,West Virginia,26670
Granite City,Illinois,26670
Horn Lake,Mississippi,26622
West Islip,New York,26559
Superior,Wisconsin,26550
Edwardsville,Illinois,26543
Marysville,Ohio,26540
Jenks,Oklahoma,26519
Tumwater,Washington,26519
Sanger,California,26515
Rosemount,Minnesota,26509
Paramus,New Jersey,26500
Auburn,New York,26475
Venice,Florida,26467
Owatonna,Minnesota,26462
Forest Grove,Oregon,26406
Carolina Forest,South Carolina,26373
Elk River,Minnesota,26367
Elmira,New York,26349
Woodstock,Illinois,26316
Leland,North Carolina,26307
Eureka,California,26302
South Pasadena,California,26297
South Salt Lake,Utah,26277
Holbrook,New York,26256
Plainview,New York,26251
Hercules,California,26245
Lockport,Illinois,26228
Wasco,California,26222
Wilsonville,Oregon,26183
Elkridge,Maryland,26183
Fairland,Maryland,26183
Trussville,Alabama,26182
Windsor,California,26179
Austin,Minnesota,26167
East Chicago,Indiana,26158
Ives Estates,Florida,26154
Oxford,Mississippi,26086
Conway,South Carolina,26082
Ridgewood,New Jersey,26076
Medina,Ohio,26040
North Tustin,California,26038
Cave Spring,Virginia,26014
Chanhassen,Minnesota,26001
Franklin,Indiana,25999
Winona,Minnesota,25998
Norfolk,Nebraska,25962
Florence,Arizona,25961
Kuna,Idaho,25960
Lodi,New Jersey,25946
Fish Hawk,Florida,25945
Colleyville,Texas,25906
Imperial Beach,California,25897
Moscow,Idaho,25868
Ballenger Creek,Maryland,25866
Terrytown,Louisiana,25844
Fort Washington,Maryland,25843
Key West,Florida,25824
Grandview,Missouri,25821
Derby,Kansas,25801
Fort Hood,Texas,25786
El Cerrito,California,25781
Rockville Centre,New York,25770
Staunton,Virginia,25765
Sebastian,Florida,25759
Allendale,Michigan,25741
Palm City,Florida,25699
Columbine,Colorado,25681
Medford,New York,25681
Galt,California,25665
Bessemer,Alabama,25655
Pace,Florida,25630
Immokalee,Florida,25624
Newberg,Oregon,25622
Starkville,Mississippi,25611
Inkster,Michigan,25602
Moses Lake,Washington,25594
South Bradenton,Florida,25585
Nocatee,Florida,25581
Cliffside Park,New Jersey,25580
Happy Valley,Oregon,25572
Xenia,Ohio,25555
Tarpon Springs,Florida,25522
Okemos,Michigan,25503
Stevens Point,Wisconsin,25497
Peekskill,New York,25484
Salem,Virginia,25477
Mill Creek East,Washington,25461
West Whittier-Los Nietos,California,25459
Bailey's Crossroads,Virginia,25458
Avon Lake,Ohio,25456
Reedley,California,25446
West Chicago,Illinois,25434
Northdale,Florida,25420
De Pere,Wisconsin,25368
Ottumwa,Iowa,25352
Brandon,Mississippi,25352
Denison,Texas,25347
Corsicana,Texas,25344
Caledonia,Wisconsin,25292
Sugar Hill,Georgia,25285
Mercer Island,Washington,25282
Lafayette,California,25277
Holt,Michigan,25275
Mequon,Wisconsin,25259
Dickinson,North Dakota,25216
Hazelwood,Missouri,25214
Norco,California,25211
North Laurel,Maryland,25201
Walker,Michigan,25201
Dinuba,California,25201
Barstow,California,25198
Carteret,New Jersey,25187
Edgewood,Maryland,25170
Muskego,Wisconsin,25156
Simpsonville,South Carolina,25125
Mountain House,California,25108
University Park,Texas,25104
Avon,Ohio,25082
Perrysburg,Ohio,25065
Kingsville,Texas,25061
Bellview,Florida,25051
Dix Hills,New York,25042
Newport,Rhode Island,25029
King of Prussia,Pennsylvania,25025
Loma Linda,California,25021
Hastings,Nebraska,25005
Norton Shores,Michigan,25000
Barberton,Ohio,24977
Romulus,Michigan,24951
Farmington,Utah,24934
North Augusta,South Carolina,24928
Auburn Hills,Michigan,24911
Riverbank,California,24881
Seal Beach,California,24868
Westchase,Florida,24818
Centerville,Ohio,24815
Yukon,Oklahoma,24802
Pecan Grove,Texas,24798
Fort Dodge,Iowa,24788
Big Spring,Texas,24769
Ardmore,Oklahoma,24757
Sandusky,Ohio,24748
Zanesville,Ohio,24726
Morton Grove,Illinois,24687
Paris,Texas,24678
San Benito,Texas,24677
Suitland,Maryland,24667
Cloverleaf,Texas,24630
Socastee,South Carolina,24629
Belton,Missouri,24618
Port St. John,Florida,24617
Bainbridge Island,Washington,24607
Maywood,California,24593
Wyandotte,Michigan,24593
Selma,California,24586
Watertown,New York,24574
Greenbelt,Maryland,24572
Landover,Maryland,24558
Ridgeland,Mississippi,24548
Kerrville,Texas,24532
Herndon,Virginia,24529
Homer Glen,Illinois,24516
Melrose Park,Illinois,24513
Belvidere,Illinois,24510
Pelham,Alabama,24510
World Golf Village,Florida,24485
Fairfax,Virginia,24478
Soledad,California,24476
Decatur,Georgia,24470
Saginaw,Texas,24467
Zion,Illinois,24466
Faribault,Minnesota,24458
Riverside,Ohio,24432
Benbrook,Texas,24430
Clinton,Iowa,24425
Oak Harbor,Washington,24396
Oak Ridge,Florida,24395
Ponca City,Oklahoma,24377
Bloomington,California,24324
Farragut,Tennessee,24309
Greenfield,Indiana,24308
Patterson,California,24306
Wadsworth,Ohio,24302
Auburn,Maine,24294
Mandan,North Dakota,24293
Palmetto Bay,Florida,24247
South Plainfield,New Jersey,24231
Frederickson,Washington,24219
Westmont,Illinois,24201
Johnston,Iowa,24196
Columbus,Nebraska,24188
Liberty Triangle,Florida,24178
West Memphis,Arkansas,24147
Lexington,South Carolina,24132
Nixa,Missouri,24131
Collinsville,Illinois,24126
Shelbyville,Tennessee,24125
Wekiwa Springs,Florida,24109
Emporia,Kansas,24098
Fresno,Texas,24087
Middletown,Delaware,24071
Bay Point,California,24065
Papillion,Nebraska,24063
Coral Terrace,Florida,24051
White Bear Lake,Minnesota,24026
Gardner,Kansas,24020
Brambleton,Virginia,23999
North Potomac,Maryland,23994
South Elgin,Illinois,23984
Elmwood Park,Illinois,23982
Rolling Meadows,Illinois,23981
Bloomingdale,Florida,23979
Solon,Ohio,23970
Kingston,New York,23942
Easley,South Carolina,23942
Willoughby,Ohio,23934
Katy,Texas,23900
Arnold,Maryland,23866
Somerset,New Jersey,23851
Raymore,Missouri,23849
Pickerington,Ohio,23828
Burlington,Iowa,23800
Bayonet Point,Florida,23787
Roseburg,Oregon,23773
Webster Groves,Missouri,23771
Belton,Texas,23769
Fountain Hills,Arizona,23768
Highland,Indiana,23749
Chantilly,Virginia,23744
Munster,Indiana,23733
San Fernando,California,23716
Brookings,South Dakota,23710
Taylors,South Carolina,23686
Farmington,Minnesota,23675
North Lynnwood,Washington,23653
Griffin,Georgia,23650
Marshall,Texas,23646
Freeport,Illinois,23636
Fernley,Nevada,23631
Cartersville,Georgia,23617
Columbus,Mississippi,23616
Ladera Ranch,California,23609
Jacksonville Beach,Florida,23601
Kenmore,Washington,23594
Eustis,Florida,23567
Muscatine,Iowa,23567
Van Buren,Arkansas,23545
East San Gabriel,California,23521
Chester,Virginia,23519
Clinton,Utah,23492
Eastmont,Washington,23486
Champlin,Minnesota,23450
Rosemont,California,23448
Cherry Hill,Virginia,23443
Brent,Florida,23441
Blue Island,Illinois,23416
Lisle,Illinois,23413
Pottstown,Pennsylvania,23392
Glassboro,New Jersey,23375
Fairhope,Alabama,23360
Maple Heights,Ohio,23350
Watauga,Texas,23336
Copiague,New York,23332
Edgewater,Florida,23314
Waverly,Michigan,23301
Union Hill-Novelty Hill,Washington,23272
Cockeysville,Maryland,23265
North Salt Lake,Utah,23239
Rock Springs,Wyoming,23229
Linda,California,23215
Athens,Ohio,23211
Loves Park,Illinois,23185
Maywood,Illinois,23173
Cottage Lake,Washington,23170
Oakdale,California,23155
Jasmine Estates,Florida,23151
Searcy,Arkansas,23115
Hazel Dell,Washington,23086
Horizon City,Texas,23069
Trotwood,Ohio,23041
Ensley,Florida,23036
Kapolei,Hawaii,23033
North Platte,Nebraska,23030
Hudson,Ohio,23007
Radcliff,Kentucky,22967
Hopewell,Virginia,22944
Prairie Village,Kansas,22937
Keene,New Hampshire,22923
West Springfield,Virginia,22905
New Brighton,Minnesota,22900
Watertown,Wisconsin,22873
Duncan,Oklahoma,22872
Calabasas,California,22869
Corinth,Texas,22868
Garden City,New York,22866
Watertown,South Dakota,22859
Coralville,Iowa,22846
Ramona,California,22829
Christiansburg,Virginia,22820
Ashland,California,22784
Laguna Beach,California,22777
Bonney Lake,Washington,22776
Machesney Park,Illinois,22744
Martha Lake,Washington,22740
Roselle,Illinois,22731
Sun Valley,Nevada,22697
Crystal,Minnesota,22685
Avon,Indiana,22683
North Plainfield,New Jersey,22667
Hialeah Gardens,Florida,22634
Corcoran,California,22626
Anthem,Arizona,22622
Bear,Delaware,22604
DeBary,Florida,22602
Millbrae,California,22589
Albertville,Alabama,22584
Waynesboro,Virginia,22574
Kihei,Hawaii,22564
West Rancho Dominguez,California,22560
Greenwood,South Carolina,22527
Summit,New Jersey,22512
East Peoria,Illinois,22485
Central Falls,Rhode Island,22481
Biddeford,Maine,22463
Villa Park,Illinois,22456
Roselle,New Jersey,22455
McNair,Virginia,22451
Chalmette,Louisiana,22447
Junction City,Kansas,22431
Bloomingdale,Illinois,22388
Acworth,Georgia,22370
The Crossings,Florida,22359
Yorkville,Illinois,22350
Foley,Alabama,22330
Cudahy,California,22325
Marina,California,22324
Hayesville,Oregon,22309
Hillsborough,New Jersey,22302
Marion Oaks,Florida,22296
Montclair,Virginia,22295
Sapulpa,Oklahoma,22268
Evans,Colorado,22265
Rancho San Diego,California,22264
Perry,Georgia,22243
Middleton,Wisconsin,22235
Ruston,Louisiana,22224
Payson,Utah,22205
West Puente Valley,California,22198
Camp Springs,Maryland,22174
Mountain Brook,Alabama,22160
Bayou Cane,Louisiana,22143
La Porte,Indiana,22125
Sunny Isles Beach,Florida,22125
Clarksville,Indiana,22121
Allison Park,Pennsylvania,22108
Sanford,Maine,22095
Oxford,Ohio,22069
Oxford,Alabama,22063
Langley Park,Maryland,22057
Chambersburg,Pennsylvania,22051
Hastings,Minnesota,22050
East Ridge,Tennessee,22034
Columbia Heights,Minnesota,22016
Winter Gardens,California,22003
Mililani Mauka,Hawaii,21967
Lorton,Virginia,21961
Chillicothe,Ohio,21958
Ozark,Missouri,21953
