name,city,state,population
University Of California-Santa Barbara,Santa Barbara,California,31335
University Of California-Riverside,Riverside,California,30913
Salt Lake Community College,Salt Lake City,Utah,30721
Kent State University At Kent,Kent,Ohio,30612
San Francisco State University,San Francisco,California,30596
South Texas College,Mcallen,Texas,30440
Colorado Technical University-Colorado Springs,Colorado Springs,Colorado,30267
University Of Chicago,Chicago,Illinois,30198
Mt San Antonio College,Walnut,California,30125
Georgia Southern University,Statesboro,Georgia,30116
Oklahoma State University-Main Campus,Stillwater,Oklahoma,30037
University Of Miami,Coral Gables,Florida,29973
Columbus State Community College,Columbus,Ohio,29945
Chamberlain University-Illinois,Addison,Illinois,29481
Ohio University-Main Campus,Athens,Ohio,29401
California State University-Los Angeles,Los Angeles,California,29389
University Of Louisville,Louisville,Kentucky,29210
University Of New Mexico-Main Campus,Albuquerque,New Mexico,29086
St Petersburg College,Clearwater,Florida,29046
Yale University,New Haven,Connecticut,28878
Palm Beach State College,Lake Worth,Florida,28781
University Of Delaware,Newark,Delaware,28522
Drexel University,Philadelphia,Pennsylvania,28508
El Paso Community College,El Paso,Texas,28306
Mississippi State University,Mississippi State,Mississippi,28202
University Of Wisconsin-Milwaukee,Milwaukee,Wisconsin,28132
California State University-Fresno,Fresno,California,27985
Northeastern University,Boston,Massachusetts,27955
The University Of Texas At El Paso,El Paso,Texas,27843
Santa Monica College,Santa Monica,California,27716
Old Dominion University,Norfolk,Virginia,27526
Boise State University,Boise,Idaho,27272
Cuny Hunter College,New York,New York,27203
Emory University,Atlanta,Georgia,26950
Syracuse University,Syracuse,New York,26900
Full Sail University,Winter Park,Florida,26899
Portland State University,Portland,Oregon,26783
University Of Oregon,Eugene,Oregon,26681
American River College,Sacramento,California,26654
Pasadena City College,Pasadena,California,26551
Missouri State University-Springfield,Springfield,Missouri,26289
Grand Valley State University,Allendale,Michigan,26284
Bakersfield College,Bakersfield,California,25966
Georgetown University,Washington,Dc,25662
Kansas State University,Manhattan,Kansas,25635
Portland Community College,Portland,Oregon,25631
University Of Memphis,Memphis,Tennessee,25467
Nova Southeastern University,Fort Lauderdale,Florida,25444
James Madison University,Harrisonburg,Virginia,25330
Depaul University,Chicago,Illinois,25295
Massachusetts Institute Of Technology,Cambridge,Massachusetts,25286
Cuny Borough Of Manhattan Community College,New York,New York,25263
California Polytechnic State University-San Luis Obispo,San Luis Obispo,California,25254
Ball State University,Muncie,Indiana,25208
Towson University,Towson,Maryland,25129
University Of Nevada-Reno,Reno,Nevada,25000
Long Beach City College,Long Beach,California,24729
Suffolk County Community College,Selden,New York,24716
Middle Tennessee State University,Murfreesboro,Tennessee,24652
Des Moines Area Community College,Ankeny,Iowa,24575
Florida State College At Jacksonville,Jacksonville,Florida,24422
Sam Houston State University,Huntsville,Texas,24407
Illinois State University,Normal,Illinois,24258
Montclair State University,Montclair,New Jersey,24106
Keiser University-Ft Lauderdale,Fort Lauderdale,Florida,23904
Wake Technical Community College,Raleigh,North Carolina,23872
Fresno City College,Fresno,California,23680
Rowan University,Glassboro,New Jersey,23638
Central New Mexico Community College,Albuquerque,New Mexico,23292
Appalachian State University,Boone,North Carolina,23259
College Of Dupage,Glen Ellyn,Illinois,23225
University Of California-Santa Cruz,Santa Cruz,California,23091
Excelsior College,Albany,New York,23067
University Of North Carolina At Greensboro,Greensboro,North Carolina,22811
Montgomery College,Rockville,Maryland,22779
Baylor University,Waco,Texas,22706
Fullerton College,Fullerton,California,22647
Western Michigan University,Kalamazoo,Michigan,22608
St. John'S University-New York,Queens,New York,22603
Palomar College,San Marcos,California,22506
University Of Hawaii At Manoa,Honolulu,Hawaii,22457
Cuny Bernard M Baruch College,New York,New York,22122
Miami University-Oxford,Oxford,Ohio,22122
Devry University-Illinois,Chicago,Illinois,22110
Cuny Queens College,Queens,New York,22053
Cuyahoga Community College District,Cleveland,Ohio,22007
University Of North Georgia,Dahlonega,Georgia,21923
College Of The Canyons,Santa Clarita,California,21813
California State University-San Bernardino,San Bernardino,California,21777
Hillsborough Community College,Tampa,Florida,21688
El Camino Community College District,Torrance,California,21680
San Diego Mesa College,San Diego,California,21616
University Of Toledo,Toledo,Ohio,21610
Cerritos College,Norwalk,California,21584
City College Of San Francisco,San Francisco,California,21493
National University,La Jolla,California,21431
Chaffey College,Rancho Cucamonga,California,21404
University Of Rochester,Rochester,New York,21328
Santa Ana College,Santa Ana,California,21321
Riverside City College,Riverside,California,21112
Metropolitan State University Of Denver,Denver,Colorado,21004
Oakland University,Rochester Hills,Michigan,20986
Sacramento City College,Sacramento,California,20974
Binghamton University,Vestal,New York,20959
Suny At Albany,Albany,New York,20764
University Of Rhode Island,Kingston,Rhode Island,20758
Sinclair Community College,Dayton,Ohio,20546
California State University-Dominguez Hills,Carson,California,20426
San Antonio College,San Antonio,Texas,20419
University Of North Carolina Wilmington,Wilmington,North Carolina,20394
Loyola University Chicago,Chicago,Illinois,20366
University Of The Cumberlands,Williamsburg,Kentucky,20362
Bowling Green State University-Main Campus,Bowling Green,Ohio,20322
Front Range Community College,Westminster,Colorado,20282
Saddleback College,Mission Viejo,California,20211
Rochester Institute Of Technology,Rochester,New York,20200
Community College Of Baltimore County,Baltimore,Maryland,20170
Cuny Brooklyn College,Brooklyn,New York,20147
University Of Massachusetts-Lowell,Lowell,Massachusetts,20126
Western Kentucky University,Bowling Green,Kentucky,19864
Central Michigan University,Mount Pleasant,Michigan,19811
Northern Illinois University,Dekalb,Illinois,19732
Diablo Valley College,Pleasant Hill,California,19715
Fordham University,Bronx,New York,19631
De Anza College,Cupertino,California,19622
West Chester University Of Pennsylvania,West Chester,Pennsylvania,19588
Montana State University,Bozeman,Montana,19554
Columbia Southern University,Orange Beach,Alabama,19536
Tulane University Of Louisiana,New Orleans,Louisiana,19524
Blinn College,Brenham,Texas,19491
Northwest Vista College,San Antonio,Texas,19448
Vanderbilt University,Nashville,Tennessee,19417
Carnegie Mellon University,Pittsburgh,Pennsylvania,19307
Central Piedmont Community College,Charlotte,North Carolina,19271
Orange Coast College,Costa Mesa,California,19219
University Of Missouri-Kansas City,Kansas City,Missouri,19161
Cuny Laguardia Community College,Long Island City,New York,19132
Boston College,Chestnut Hill,Massachusetts,19123
University Of North Florida,Jacksonville,Florida,19108
San Joaquin Delta College,Stockton,California,19036
University Of Notre Dame,Notre Dame,Indiana,19035
Southwestern College,Chula Vista,California,18957
Troy University,Troy,Alabama,18836
Mesa Community College,Mesa,Arizona,18794
Rio Salado College,Tempe,Arizona,18769
California State University-Chico,Chico,California,18659
