name;city;state;population
Estrella Mountain Community College;Avondale;Az;9589
Gwinnett Technical College;Lawrenceville;Ga;9585
University Of The Incarnate Word;San Antonio;Tx;9512
North Carolina Central University;Durham;Nc;9482
Columbus State University;Columbus;Ga;9481
The University Of Texas Health Science Center At San Antonio;San Antonio;Tx;9476
Bloomsburg University Of Pennsylvania;Bloomsburg;Pa;9466
North Central Texas College;Gainesville;Tx;9449
University Of New Orleans;New Orleans;La;9447
The College Of New Jersey;Ewing;Nj;9439
University Of Wisconsin-Stevens Point;Stevens Point;Wi;9429
Morgan State University;Baltimore;Md;9402
Purdue University Fort Wayne;Fort Wayne;In;9389
Columbia College;Columbia;Mo;9384
Texas A & M International University;Laredo;Tx;9351
Texas Southmost College;Brownsville;Tx;9341
Adelphi University;Garden City;Ny;9312
Coastline Community College;Fountain Valley;Ca;9284
University Of North Carolina At Pembroke;Pembroke;Nc;9277
Union County College;Cranford;Nj;9265
Middle Georgia State University;Macon;Ga;9261
Sonoma State University;Rohnert Park;Ca;9259
Cuyamaca College;El Cajon;Ca;9249
Skyline College;San Bruno;Ca;9240
Clovis Community College;Fresno;Ca;9237
Jefferson State Community College;Birmingham;Al;9228
Chemeketa Community College;Salem;Or;9226
University Of Oklahoma-Health Sciences Center;Oklahoma City;Ok;9216
Hartnell College;Salinas;Ca;9212
Ultimate Medical Academy;Clearwater;Fl;9206
Rensselaer Polytechnic Institute;Troy;Ny;9174
Evergreen Valley College;San Jose;Ca;9156
Pierce College District;Lakewood;Wa;9084
Forsyth Technical Community College;Winston-Salem;Nc;9084
University Of Massachusetts-Dartmouth;North Dartmouth;Ma;9075
Saginaw Valley State University;University Center;Mi;9073
Camden County College;Blackwood;Nj;9065
University Of Wisconsin-Stout;Menomonie;Wi;9046
Central Georgia Technical College;Warner Robins;Ga;9038
John C Calhoun State Community College;Tanner;Al;9032
Weill Medical College Of Cornell University;New York;Ny;9025
University Of Alaska Fairbanks;Fairbanks;Ak;9015
Los Medanos College;Pittsburg;Ca;8995
University Of North Alabama;Florence;Al;8986
Tennessee State University;Nashville;Tn;8978
Anoka-Ramsey Community College;Coon Rapids;Mn;8964
Mcphs University;Boston;Ma;8938
Schoolcraft College;Livonia;Mi;8930
Lehigh University;Bethlehem;Pa;8928
Gonzaga University;Spokane;Wa;8902
Colorado Christian University;Lakewood;Co;8900
Missouri University Of Science And Technology;Rolla;Mo;8898
Elgin Community College;Elgin;Il;8894
Clark College;Vancouver;Wa;8888
Suny Brockport;Brockport;Ny;8887
Pitt Community College;Winterville;Nc;8887
Suny College At Oswego;Oswego;Ny;8877
New Jersey City University;Jersey City;Nj;8871
San Jose City College;San Jose;Ca;8855
Century College;White Bear Lake;Mn;8824
Cuny York College;Jamaica;Ny;8801
Kutztown University Of Pennsylvania;Kutztown;Pa;8799
State University Of New York At New Paltz;New Paltz;Ny;8794
Shasta College;Redding;Ca;8774
Western Illinois University;Macomb;Il;8770
Barry University;Miami;Fl;8728
Dutchess Community College;Poughkeepsie;Ny;8726
University Of Nebraska Medical Center;Omaha;Ne;8723
Elon University;Elon;Nc;8707
Lindenwood University;Saint Charles;Mo;8698
Georgia Military College;Milledgeville;Ga;8678
Gateway Technical College;Kenosha;Wi;8626
Illinois Central College;East Peoria;Il;8598
Seattle University;Seattle;Wa;8581
Los Angeles Harbor College;Wilmington;Ca;8570
Waubonsee Community College;Sugar Grove;Il;8569
Metropolitan State University;Saint Paul;Mn;8566
University Of Wisconsin-Platteville;Platteville;Wi;8557
Ocean County College;Toms River;Nj;8540
Mclennan Community College;Waco;Tx;8536
J Sargeant Reynolds Community College;Richmond;Va;8524
City Colleges Of Chicago-Wilbur Wright College;Chicago;Il;8521
Salem State University;Salem;Ma;8518
American College Of Education;Indianapolis;In;8517
Lane Community College;Eugene;Or;8508
University Of New England;Biddeford;Me;8505
Las Positas College;Livermore;Ca;8488
National Louis University;Chicago;Il;8486
Owens Community College;Perrysburg;Oh;8485
Scottsdale Community College;Scottsdale;Az;8478
Xavier University;Cincinnati;Oh;8455
Millersville University Of Pennsylvania;Millersville;Pa;8421
California State University-Monterey Bay;Seaside;Ca;8415
Stevens Institute Of Technology;Hoboken;Nj;8411
New York Institute Of Technology;Old Westbury;Ny;8409
California State University-Channel Islands;Camarillo;Ca;8392
Michigan Technological University;Houghton;Mi;8392
Northern Michigan University;Marquette;Mi;8388
Everett Community College;Everett;Wa;8378
Chattanooga State Community College;Chattanooga;Tn;8378
Fairleigh Dickinson University-Metropolitan Campus;Teaneck;Nj;8376
Texas Southern University;Houston;Tx;8357
Mchenry County College;Crystal Lake;Il;8348
Rutgers University-Camden;Camden;Nj;8332
Northeastern Illinois University;Chicago;Il;8323
Northeastern State University;Tahlequah;Ok;8322
Southwest Tennessee Community College;Memphis;Tn;8293
Oakton Community College;Des Plaines;Il;8290
Community College Of Aurora;Aurora;Co;8281
The University Of Tennessee Health Science Center;Memphis;Tn;8256
Germanna Community College;Locust Grove;Va;8244
Green River College;Auburn;Wa;8227
Rowan College At Burlington County;Mount Laurel;Nj;8226
University Of The Pacific;Stockton;Ca;8214
Spokane Community College;Spokane;Wa;8209
Berklee College Of Music;Boston;Ma;8208
Worcester Polytechnic Institute;Worcester;Ma;8203
Rhode Island College;Providence;Ri;8190
Northwest Arkansas Community College;Bentonville;Ar;8174
Columbia College Chicago;Chicago;Il;8166
Lee College;Baytown;Tx;8162
Colorado School Of Mines;Golden;Co;8161
College Of Southern Idaho;Twin Falls;Id;8143
Suffolk University;Boston;Ma;8115
Chippewa Valley Technical College;Eau Claire;Wi;8098
University Of New Haven;West Haven;Ct;8096
Jackson State University;Jackson;Ms;8089
Winona State University;Winona;Mn;8084
The University Of Tennessee-Martin;Martin;Tn;8082
Suny Cortland;Cortland;Ny;8078
Southern University And A & M College;Baton Rouge;La;8076
Rowan-Cabarrus Community College;Salisbury;Nc;8053
Northwest Missouri State University;Maryville;Mo;8049
Mcneese State University;Lake Charles;La;8043
Bucks County Community College;Newtown;Pa;8027
West Valley College;Saratoga;Ca;8023
College Of San Mateo;San Mateo;Ca;7987
University Of Hartford;West Hartford;Ct;7965
University Of La Verne;La Verne;Ca;7953
University Of Arkansas For Medical Sciences;Little Rock;Ar;7949
Waukesha County Technical College;Pewaukee;Wi;7944
Saint Joseph'S University;Philadelphia;Pa;7940
Hudson County Community College;Jersey City;Nj;7938
Georgia College & State University;Milledgeville;Ga;7935
Quinsigamond Community College;Worcester;Ma;7929
Auguste Escoffier School Of Culinary Arts-Boulder;Boulder;Co;7920
Baton Rouge Community College;Baton Rouge;La;7918
City Colleges Of Chicago-Malcolm X College;Chicago;Il;7915
Nevada State College;Henderson;Nv;7908
Texas A & M University-Kingsville;Kingsville;Tx;7900
University Of Cincinnati-Clermont College;Batavia;Oh;7896
Butler Community College;El Dorado;Ks;7877
Clayton State University;Morrow;Ga;7863
Community College Of Denver;Denver;Co;7843
Raritan Valley Community College;Branchburg;Nj;7839
Florida Institute Of Technology;Melbourne;Fl;7838
Northwest Mississippi Community College;Senatobia;Ms;7815
Southwestern Illinois College;Belleville;Il;7807
Marist College;Poughkeepsie;Ny;7797
University Of Michigan-Flint;Flint;Mi;7793
Navarro College;Corsicana;Tx;7781
Cincinnati State Technical And Community College;Cincinnati;Oh;7780
Delta College;University Center;Mi;7773
Suny Oneonta;Oneonta;Ny;7770
Eastern Iowa Community College District;Davenport;Ia;7766
Humboldt State University;Arcata;Ca;7705
Kalamazoo Valley Community College;Kalamazoo;Mi;7704
Southwest Minnesota State University;Marshall;Mn;7698
University Of Cincinnati-Blue Ash College;Blue Ash;Oh;7691
Monterey Peninsula College;Monterey;Ca;7685
Odessa College;Odessa;Tx;7684
Nashville State Community College;Nashville;Tn;7675
New Mexico State University-Dona Ana;Las Cruces;Nm;7671
Middlesex Community College;Bedford;Ma;7641
California University Of Pennsylvania;California;Pa;7640
Illinois Institute Of Technology;Chicago;Il;7629
Medical College Of Wisconsin;Milwaukee;Wi;7616
Asheville-Buncombe Technical Community College;Asheville;Nc;7594
Imperial Valley College;Imperial;Ca;7590
Fayetteville State University;Fayetteville;Nc;7590
Regis University;Denver;Co;7538
Baker College;Owosso;Mi;7519
Nicholls State University;Thibodaux;La;7509
Fitchburg State University;Fitchburg;Ma;7506
Simmons University;Boston;Ma;7499
Saint Johns River State College;Palatka;Fl;7492
Texas A&M University-San Antonio;San Antonio;Tx;7479
Beth Medrash Govoha;Lakewood;Nj;7460
Mt Hood Community College;Gresham;Or;7459
County College Of Morris;Randolph;Nj;7445
Widener University;Chester;Pa;7444
Strayer University-Georgia;Atlanta;Ga;7441
Paradise Valley Community College;Phoenix;Az;7431
Brandeis University;Waltham;Ma;7425
Rose State College;Midwest City;Ok;7420
Monroe College;Bronx;Ny;7410
Coastal Alabama Community College;Bay Minette;Al;7395
Reedley College;Reedley;Ca;7365
Pittsburg State University;Pittsburg;Ks;7361
Lewis University;Romeoville;Il;7352
Edmonds College;Lynnwood;Wa;7345
Oxnard College;Oxnard;Ca;7342
Arizona Western College;Yuma;Az;7317
Campbell University;Buies Creek;Nc;7300
Columbia Basin College;Pasco;Wa;7296
Franklin University;Columbus;Oh;7272
Albany State University;Albany;Ga;7260
Georgia Northwestern Technical College;Rome;Ga;7200
Cuny Hostos Community College;Bronx;Ny;7194
Bristol Community College;Fall River;Ma;7190
The Catholic University Of America;Washington;Dc;7186
Bowie State University;Bowie;Md;7183
Concordia University-Chicago;River Forest;Il;7174
Mercer County Community College;West Windsor;Nj;7166
Davenport University;Grand Rapids;Mi;7148
University Of Nebraska At Kearney;Kearney;Ne;7139
Aurora University;Aurora;Il;7131
Motlow State Community College;Tullahoma;Tn;7109
Monmouth University;West Long Branch;Nj;7096
City Colleges Of Chicago-Harold Washington College;Chicago;Il;7092
Yeshiva University;New York;Ny;7063
West Georgia Technical College;Waco;Ga;7057
Essex County College;Newark;Nj;7043
Norfolk State University;Norfolk;Va;7038
University Of Washington-Bothell Campus;Bothell;Wa;7023
College Of Southern Maryland;La Plata;Md;7002
Northeast Lakeview College;Universal City;Tx;6990
Grantham University;Lenexa;Ks;6988
Rowan College Of South Jersey Gloucester Campus;Sewell;Nj;6971
Horry-Georgetown Technical College;Conway;Sc;6966
Ramapo College Of New Jersey;Mahwah;Nj;6947
Mission College;Santa Clara;Ca;6946
Southwest Texas Junior College;Uvalde;Tx;6939
Minneapolis Community And Technical College;Minneapolis;Mn;6927
Shippensburg University Of Pennsylvania;Shippensburg;Pa;6921
University Of South Carolina-Upstate;Spartanburg;Sc;6908
Samford University;Birmingham;Al;6898
Alabama A & M University;Normal;Al;6895
Lord Fairfax Community College;Middletown;Va;6894
Orange County Community College;Middletown;Ny;6881
Kapiolani Community College;Honolulu;Hi;6879
Bradley University;Peoria;Il;6869
Johnson & Wales University-Providence;Providence;Ri;6862
Thomas Nelson Community College;Hampton;Va;6834
Washburn University;Topeka;Ks;6833
Lehigh Carbon Community College;Schnecksville;Pa;6831
College Of Central Florida;Ocala;Fl;6829
Biola University;La Mirada;Ca;6819
Butler University;Indianapolis;In;6816
Aims Community College;Greeley;Co;6798
Leeward Community College;Pearl City;Hi;6798
Tacoma Community College;Tacoma;Wa;6787
Central Community College;Grand Island;Ne;6772
Ithaca College;Ithaca;Ny;6727
Red Rocks Community College;Lakewood;Co;6723
St Charles Community College;Cottleville;Mo;6721
Colorado State University Pueblo;Pueblo;Co;6718
Frederick Community College;Frederick;Md;6718
Fairfield University;Fairfield;Ct;6685
Rockland Community College;Suffern;Ny;6669
Wharton County Junior College;Wharton;Tx;6659
Seattle Central College;Seattle;Wa;6656
Massasoit Community College;Brockton;Ma;6647
University Of Indianapolis;Indianapolis;In;6647
Contra Costa College;San Pablo;Ca;6645
Yavapai College;Prescott;Az;6633
Gateway Community College;New Haven;Ct;6631
Midwestern State University;Wichita Falls;Tx;6622
Mott Community College;Flint;Mi;6619
Winthrop University;Rock Hill;Sc;6610
University Of Wisconsin-River Falls;River Falls;Wi;6602
Iowa Western Community College;Council Bluffs;Ia;6601
Worcester State University;Worcester;Ma;6599
High Point University;High Point;Nc;6596
Emporia State University;Emporia;Ks;6575
Merritt College;Oakland;Ca;6562
St. Thomas University;Miami Gardens;Fl;6558
Concordia University-Wisconsin;Mequon;Wi;6549
Crafton Hills College;Yucaipa;Ca;6540
The University Of Texas Permian Basin;Odessa;Tx;6536
University Of Arkansas-Fort Smith;Fort Smith;Ar;6533
Bossier Parish Community College;Bossier City;La;6511
Alvin Community College;Alvin;Tx;6493
University Of Massachusetts Medical School Worcester;Worcester;Ma;6492
East Stroudsburg University Of Pennsylvania;East Stroudsburg;Pa;6488
Highline College;Des Moines;Wa;6486
Rock Valley College;Rockford;Il;6476
Northcentral Technical College;Wausau;Wi;6476
South University-Savannah Online;Savannah;Ga;6463
United States Military Academy;West Point;Ny;6454
Snow College;Ephraim;Ut;6441
Parkland College;Champaign;Il;6422
Columbia State Community College;Columbia;Tn;6421
Westfield State University;Westfield;Ma;6420
Loyola University Maryland;Baltimore;Md;6416
Southern Maine Community College;South Portland;Me;6388
Medical University Of South Carolina;Charleston;Sc;6371
Berkeley City College;Berkeley;Ca;6368
South Louisiana Community College;Lafayette;La;6366
Passaic County Community College;Paterson;Nj;6359
Mohawk Valley Community College;Utica;Ny;6357
Walters State Community College;Morristown;Tn;6347
Abilene Christian University;Abilene;Tx;6335
Emerson College;Boston;Ma;6324
University Of West Alabama;Livingston;Al;6322
Clackamas Community College;Oregon City;Or;6318
Molloy College;Rockville Centre;Ny;6297
Merrimack College;North Andover;Ma;6291
Elizabethtown Community And Technical College;Elizabethtown;Ky;6275
Edward Via College Of Osteopathic Medicine;Blacksburg;Va;6272
South College;Knoxville;Tn;6267
Bryant & Stratton College-Online;Orchard Park;Ny;6266
Saint Paul College;Saint Paul;Mn;6259
Tri-County Technical College;Pendleton;Sc;6250
Virginia Western Community College;Roanoke;Va;6245
William Carey University;Hattiesburg;Ms;6244
Colorado Mountain College;Glenwood Springs;Co;6230
Western Connecticut State University;Danbury;Ct;6225
Minnesota State University Moorhead;Moorhead;Mn;6222
Bentley University;Waltham;Ma;6212
University Of Detroit Mercy;Detroit;Mi;6207
San Juan College;Farmington;Nm;6203
Georgia Highlands College;Rome;Ga;6195
Trinity Valley Community College;Athens;Tx;6188
Olympic College;Bremerton;Wa;6182
Lee University;Cleveland;Tn;6180
Lincoln Memorial University;Harrogate;Tn;6171
Los Angeles Film School;Hollywood;Ca;6169
Concordia University-Saint Paul;Saint Paul;Mn;6166
Southeastern Oklahoma State University;Durant;Ok;6164
Minnesota State Community And Technical College;Fergus Falls;Mn;6164
North Hennepin Community College;Brooklyn Park;Mn;6141
Winston-Salem State University;Winston-Salem;Nc;6120
Finger Lakes Community College;Canandaigua;Ny;6116
Western Iowa Tech Community College;Sioux City;Ia;6080
Gaston College;Dallas;Nc;6080
Pueblo Community College;Pueblo;Co;6072
Lakeland Community College;Kirtland;Oh;6071
Harford Community College;Bel Air;Md;6070
Holmes Community College;Goodman;Ms;6064
Cuny Medgar Evers College;Brooklyn;Ny;6059
University Of Washington-Tacoma Campus;Tacoma;Wa;6056
Christopher Newport University;Newport News;Va;6051
St. Joseph'S College-New York;Brooklyn;Ny;6051
Weatherford College;Weatherford;Tx;6045
Suny Broome Community College;Binghamton;Ny;6031
Suny College At Plattsburgh;Plattsburgh;Ny;6024
University Of Scranton;Scranton;Pa;6017
Saint Mary'S University Of Minnesota;Winona;Mn;6015
Central Carolina Community College;Sanford;Nc;6013
Lipscomb University;Nashville;Tn;6007
Pratt Institute-Main;Brooklyn;Ny;5990
Auburn University At Montgomery;Montgomery;Al;5986
American College Of Financial Services;King Of Prussia;Pa;5969
Shoreline Community College;Shoreline;Wa;5965
Loma Linda University;Loma Linda;Ca;5959
Drake University;Des Moines;Ia;5952
University Of Richmond;University Of Richmond;Va;5945
Northeast State Community College;Blountville;Tn;5938
Providence College;Providence;Ri;5923
Teachers College At Columbia University;New York;Ny;5922
Clark State Community College;Springfield;Oh;5913
Oregon Institute Of Technology;Klamath Falls;Or;5904
Hawkeye Community College;Waterloo;Ia;5901
Grambling State University;Grambling;La;5883
Roger Williams University;Bristol;Ri;5862
Kansas City Kansas Community College;Kansas City;Ks;5857
Eastern New Mexico University-Main Campus;Portales;Nm;5825
Southern Oregon University;Ashland;Or;5813
University Of Redlands;Redlands;Ca;5788
City Colleges Of Chicago-Harry S Truman College;Chicago;Il;5784
Suny College At Geneseo;Geneseo;Ny;5782
Naugatuck Valley Community College;Waterbury;Ct;5779
South Seattle College;Seattle;Wa;5771
Rider University;Lawrenceville;Nj;5766
The University Of Texas Medical Branch At Galveston;Galveston;Tx;5759
Belhaven University;Jackson;Ms;5756
Linn-Benton Community College;Albany;Or;5755
Pennsylvania College Of Technology;Williamsport;Pa;5754
North Seattle College;Seattle;Wa;5745
Roane State Community College;Harriman;Tn;5742
Wilkes University;Wilkes-Barre;Pa;5729
Roosevelt University;Chicago;Il;5724
Frostburg State University;Frostburg;Md;5719
Suny College At Old Westbury;Old Westbury;Ny;5716
University Of St. Augustine For Health Sciences;San Marcos;Ca;5713
Missouri Southern State University;Joplin;Mo;5711
Kilgore College;Kilgore;Tx;5699
Governors State University;University Park;Il;5685
North Idaho College;Coeur D'Alene;Id;5673
Longwood University;Farmville;Va;5666
Southern Crescent Technical College;Griffin;Ga;5666
Delaware State University;Dover;De;5657
Northwest Florida State College;Niceville;Fl;5654
Community College Of Vermont;Montpelier;Vt;5651
Northeast Community College;Norfolk;Ne;5648
Indiana University-South Bend;South Bend;In;5635
North Shore Community College;Danvers;Ma;5619
Los Angeles Southwest College;Los Angeles;Ca;5618
Lanier Technical College;Gainesville;Ga;5615
Harding University;Searcy;Ar;5598
Eastern Connecticut State University;Willimantic;Ct;5587
Ashland University;Ashland;Oh;5568
Pearl River Community College;Poplarville;Ms;5565
The University Of Findlay;Findlay;Oh;5548
Canada College;Redwood City;Ca;5542
Framingham State University;Framingham;Ma;5540
Hutchinson Community College;Hutchinson;Ks;5530
Lincoln Land Community College;Springfield;Il;5528
Rochester Community And Technical College;Rochester;Mn;5525
Southwestern Oklahoma State University;Weatherford;Ok;5523
United States Naval Academy;Annapolis;Md;5517
California Institute Of Technology;Pasadena;Ca;5508
Point Loma Nazarene University;San Diego;Ca;5491
Yuba College;Marysville;Ca;5477
Stetson University;Deland;Fl;5475
Durham Technical Community College;Durham;Nc;5474
Midland College;Midland;Tx;5459
Napa Valley College;Napa;Ca;5456
Missouri Western State University;Saint Joseph;Mo;5448
Strayer University-North Carolina;Morrisville;Nc;5441
La Salle University;Philadelphia;Pa;5440
A T Still University Of Health Sciences;Kirksville;Mo;5433
Cerro Coso Community College;Ridgecrest;Ca;5425
City Colleges Of Chicago-Richard J Daley College;Chicago;Il;5423
University Of Houston-Victoria;Victoria;Tx;5416
Mississippi College;Clinton;Ms;5403
Gateway Community College;Phoenix;Az;5394
West Kentucky Community And Technical College;Paducah;Ky;5377
Somerset Community College;Somerset;Ky;5370
Temple College;Temple;Tx;5369
Moberly Area Community College;Moberly;Mo;5367
Loyola University New Orleans;New Orleans;La;5365
Rush University;Chicago;Il;5365
Missouri Baptist University;Saint Louis;Mo;5365
University Of Arkansas-Pulaski Technical College;North Little Rock;Ar;5361
Western Oregon University;Monmouth;Or;5358
Utica College;Utica;Ny;5353
Oklahoma State University-Oklahoma City;Oklahoma City;Ok;5353
Iowa Central Community College;Fort Dodge;Ia;5345
Truman State University;Kirksville;Mo;5339
College Of Alameda;Alameda;Ca;5329
New England College;Henniker;Nh;5327
Western University Of Health Sciences;Pomona;Ca;5325
Piedmont Virginia Community College;Charlottesville;Va;5321
Kent State University At Stark;Canton;Oh;5307
Endicott College;Beverly;Ma;5294
Indiana University-Southeast;New Albany;In;5293
Northern Essex Community College;Haverhill;Ma;5282
George C Wallace State Community College-Hanceville;Hanceville;Al;5254
Western Technical College;La Crosse;Wi;5252
Itawamba Community College;Fulton;Ms;5251
Emily Griffith Technical College;Denver;Co;5249
School Of Visual Arts;New York;Ny;5247
Indiana Wesleyan University-Marion;Marion;In;5235
Plymouth State University;Plymouth;Nh;5215
Lewis And Clark Community College;Godfrey;Il;5215
Wentworth Institute Of Technology;Boston;Ma;5206
Dalton State College;Dalton;Ga;5197
Catawba Valley Community College;Hickory;Nc;5195
Piedmont Technical College;Greenwood;Sc;5183
University Of Mary Washington;Fredericksburg;Va;5166
Cedarville University;Cedarville;Oh;5166
St Catherine University;Saint Paul;Mn;5163
Wichita State University-Campus Of Applied Sciences And Technology;Wichita;Ks;5156
Tompkins Cortland Community College;Dryden;Ny;5154
Genesee Community College;Batavia;Ny;5153
Lake-Sumter State College;Leesburg;Fl;5145
Lake Erie College Of Osteopathic Medicine;Erie;Pa;5145
Bemidji State University;Bemidji;Mn;5137
Oral Roberts University;Tulsa;Ok;5137
Clarion University Of Pennsylvania;Clarion;Pa;5131
Lesley University;Cambridge;Ma;5128
George Fox University;Newberg;Or;5128
South Puget Sound Community College;Olympia;Wa;5123
University Of Tulsa;Tulsa;Ok;5118
Gannon University;Erie;Pa;5108
Lake Superior College;Duluth;Mn;5104
Shenandoah University;Winchester;Va;5076
Compton College;Compton;Ca;5054
Bucknell University;Lewisburg;Pa;5046
Fresno Pacific University;Fresno;Ca;5038
Springfield Technical Community College;Springfield;Ma;5038
University Of Portland;Portland;Or;5027
Louisiana State University Health Sciences Center-New Orleans;New Orleans;La;5025
Virginia State University;Petersburg;Va;5023
Luzerne County Community College;Nanticoke;Pa;5019
University Of Illinois Springfield;Springfield;Il;5004
University Of Wisconsin-Parkside;Kenosha;Wi;4999
Eastern Arizona College;Thatcher;Az;4996
College Of Marin;Kentfield;Ca;4992
Alabama State University;Montgomery;Al;4991
Johnston Community College;Smithfield;Nc;4991
Niagara County Community College;Sanborn;Ny;4974
Manchester Community College;Manchester;Ct;4969
Holyoke Community College;Holyoke;Ma;4969
Heartland Community College;Normal;Il;4961
The Southern Baptist Theological Seminary;Louisville;Ky;4949
California Lutheran University;Thousand Oaks;Ca;4942
University Of Baltimore;Baltimore;Md;4930
Gulf Coast State College;Panama City;Fl;4921
Jones County Junior College;Ellisville;Ms;4916
Atlantic Cape Community College;Mays Landing;Nj;4911
Westmoreland County Community College;Youngwood;Pa;4909
Northeast Iowa Community College;Calmar;Ia;4905
Edinboro University Of Pennsylvania;Edinboro;Pa;4904
Midwestern University-Glendale;Glendale;Az;4895
Southern Arkansas University Main Campus;Magnolia;Ar;4894
Gavilan College;Gilroy;Ca;4892
Clarkson University;Potsdam;Ny;4891
Suny At Fredonia;Fredonia;Ny;4883
York College Of Pennsylvania;York;Pa;4870
Tulsa Technology Center;Tulsa;Ok;4868
Robert Morris University;Moon Township;Pa;4867
University Of The District Of Columbia;Washington;Dc;4864
Manhattan College;Riverdale;Ny;4863
College Of The Mainland;Texas City;Tx;4854
Hawaii Pacific University;Honolulu;Hi;4842
Norwalk Community College;Norwalk;Ct;4818
Norwich University;Northfield;Vt;4817
University Of Bridgeport;Bridgeport;Ct;4811
Woodland Community College;Woodland;Ca;4807
Champlain College;Burlington;Vt;4801
Central Oregon Community College;Bend;Or;4801
Athens Technical College;Athens;Ga;4800
Strayer University-Virginia;Arlington;Va;4797
Crowder College;Neosho;Mo;4789
Baltimore City Community College;Baltimore;Md;4785
Central Lakes College-Brainerd;Brainerd;Mn;4772
Francis Marion University;Florence;Sc;4764
Anderson University;Anderson;Sc;4760
Spokane Falls Community College;Spokane;Wa;4746
Paris Junior College;Paris;Tx;4740
Jacksonville University;Jacksonville;Fl;4740
West Coast University-Orange County;Anaheim;Ca;4734
Lamar Institute Of Technology;Beaumont;Tx;4733
Pacific University;Forest Grove;Or;4731
Dallas Baptist University;Dallas;Tx;4730
Wayland Baptist University;Plainview;Tx;4728
Skagit Valley College;Mount Vernon;Wa;4717
University Of North Texas At Dallas;Dallas;Tx;4714
Central Arizona College;Coolidge;Az;4701
Sandhills Community College;Pinehurst;Nc;4700
Alamance Community College;Graham;Nc;4699
Angelina College;Lufkin;Tx;4695
Gateway Community And Technical College;Florence;Ky;4695
Bethel University;Saint Paul;Mn;4693
Wayne State College;Wayne;Ne;4676
United States Air Force Academy;Usaf Academy;Co;4673
Southern Regional Technical College;Thomasville;Ga;4668
University Of Florida-Online;Gainesville;Fl;4667
University Of Maine At Augusta;Augusta;Me;4665
Spartanburg Community College;Spartanburg;Sc;4662
Suny At Purchase College;Purchase;Ny;4657
Saint Mary'S College Of California;Moraga;Ca;4655
Concordia University-Irvine;Irvine;Ca;4639
York Technical College;Rock Hill;Sc;4636
Bethel University;Mckenzie;Tn;4623
Jackson State Community College;Jackson;Tn;4580
Grayson College;Denison;Tx;4566
Florida National University-Main Campus;Hialeah;Fl;4562
Barton County Community College;Great Bend;Ks;4548
Olivet Nazarene University;Bourbonnais;Il;4542
University Of Mary Hardin-Baylor;Belton;Tx;4537
Gadsden State Community College;Gadsden;Al;4531
The College Of Saint Rose;Albany;Ny;4522
Houston Baptist University;Houston;Tx;4508
Southcentral Kentucky Community And Technical College;Bowling Green;Ky;4506
Rasmussen University-Minnesota;St. Cloud;Mn;4500
Montana State University Billings;Billings;Mt;4499
Edison State Community College;Piqua;Oh;4498
Central State University;Wilberforce;Oh;4493
Hennepin Technical College;Brooklyn Park;Mn;4486
Citadel Military College Of South Carolina;Charleston;Sc;4484
Bryant University;Smithfield;Ri;4476
Abraham Baldwin Agricultural College;Tifton;Ga;4473
Brazosport College;Lake Jackson;Tx;4470
Laramie County Community College;Cheyenne;Wy;4470
Clark Atlanta University;Atlanta;Ga;4465
Western New England University;Springfield;Ma;4461
University Of South Carolina Aiken;Aiken;Sc;4461
Caldwell Community College And Technical Institute;Hudson;Nc;4460
Harrisburg University Of Science And Technology;Harrisburg;Pa;4460
Yakima Valley College;Yakima;Wa;4456
Coastal Bend College;Beeville;Tx;4453
Lake Land College;Mattoon;Il;4452
Seattle Pacific University;Seattle;Wa;4452
Benedictine University;Lisle;Il;4446
Trevecca Nazarene University;Nashville;Tn;4441
The College Of Saint Scholastica;Duluth;Mn;4428
Fairmont State University;Fairmont;Wv;4426
Point Park University;Pittsburgh;Pa;4423
Marian University;Indianapolis;In;4419
Saint John Fisher College;Rochester;Ny;4418
New River Community College;Dublin;Va;4412
Saint Xavier University;Chicago;Il;4411
West Hills College-Coalinga;Coalinga;Ca;4409
Jackson College;Jackson;Mi;4404
Wingate University;Wingate;Nc;4400
Southern Union State Community College;Wadley;Al;4399
State Fair Community College;Sedalia;Mo;4398
Hill College;Hillsboro;Tx;4384
Inver Hills Community College;Inver Grove Heights;Mn;4379
Schenectady County Community College;Schenectady;Ny;4378
Indiana University-Northwest;Gary;In;4370
Suny Corning Community College;Corning;Ny;4370
Reading Area Community College;Reading;Pa;4369
University Of Mary;Bismarck;Nd;4355
College Of The Redwoods;Eureka;Ca;4331
Niagara University;Niagara University;Ny;4324
Massachusetts Bay Community College;Wellesley Hills;Ma;4320
Rogue Community College;Grants Pass;Or;4319
University Of St Thomas;Houston;Tx;4319
Lewis-Clark State College;Lewiston;Id;4315
Palm Beach Atlantic University;West Palm Beach;Fl;4315
Davidson County Community College;Thomasville;Nc;4314
Iona College;New Rochelle;Ny;4310
Clark University;Worcester;Ma;4304
Suny College Of Technology At Alfred;Alfred;Ny;4303
Saint Edward'S University;Austin;Tx;4300
Baldwin Wallace University;Berea;Oh;4293
Stevenson University;Stevenson;Md;4290
Hampton University;Hampton;Va;4283
Upper Iowa University;Fayette;Ia;4275
Owensboro Community And Technical College;Owensboro;Ky;4268
Davis Technical College;Kaysville;Ut;4266
Cameron University;Lawton;Ok;4263
Arcadia University;Glenside;Pa;4257
Augusta Technical College;Augusta;Ga;4256
